Last updated 09 February,,,,,,,,,,,,,,,,,,,,,
,Team Capability,,,,,,,,Location,,,,,,,,,,,,
Supplier,Performance Analysis and Data ,Security,Service delivery,Software Development,Support and Operations,Testing and Auditing,User Experience and Design,User research,"No specific region, they can work remotely",Scotland,North East England,North West England,Yorkshire and the Humber,East Midlands,West Midlands,East of England,Wales,London,South East England,South West England,Northern Ireland
BSM IMPACT LIMITED,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Blue Array SEO Services,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Arahi Content Limited,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
MWK SOLUTIONS,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
DGtal-Mind Limited,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Net Service Information Technology Ltd.,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
mHabitat,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Integrella Ltd,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
HYDE PARK SOLUTIONS LIMITED,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Fathom,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes
Cursata Ltd,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Mohon.Net Ltd,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Brass Agency Limited,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Airpoint Limited,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
InphoActive Limited,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Sapient Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Analyse-Concept Ltd,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Oxford Web Applications Ltd,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no
IMC Business Architecture,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no
IF,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Cloudfire Services Ltd,yes,no,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes
Effra Digital (JL Hough LTD),yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
VIRTUAL PERFECTION.NET LIMITED,no,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Kaasv Consulting Ltd,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Nimbus 365,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Flexion Inc.,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
SQN Ltd,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
SQN Consulting Limited,no,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Myriad Consulting,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
IdeaSmiths LLP,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Little Dru Ltd,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
The Unit,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Nineworks,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes
Equator,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Intelligent Testing,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Marjolo,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
TOOLAGEN LIMITED,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
RH Environmental Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
NTL Consulting Ltd,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Digital Dragons Global Ltd,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Coast Digital,yes,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Xoomworks Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
SaacIT Ltd,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
D8,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Roaring UX Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no
Service Transformation Experts,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
SIBERIA EUROPE LTD,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Initforthe Ltd,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Inner Security Consulting Ltd,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no
Gaboult Limited,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
FFW,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Zeb Consultancy,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Sputnik Digital,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
PSP - IT Design & Development,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no
Blackthorn GRC Limited,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
EUROPE IT SOLUTIONS LIMITED,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Itelligence Business Solutions (UK) Limited,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
MediaCorp Online Ltd,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
4W Services Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Investigo Limited,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Go Free Range Ltd,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Amido,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Abstract Symbol Limited,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
OneTui,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Dartec Systems,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Delivery Blueprints,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no
Tricot Limited,yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
SIMPLE TECH LTD,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
AziMap,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Shannonigans Design,no,no,no,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no
Be Different Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
STUDLEY WALTON GRAY ASSOCIATES LLP,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
PDW Tech,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no
RSM Partners,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
EAPT SOLUTIONS UK LTD,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Kharon-IT Services Ltd,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Nu Dimensions,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Technilution,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no
JTPM Ltd,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Seymourpowell Limited,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Winning Moves Limited,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no
Cameron and Wilding Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Flashwire Limited,no,no,no,no,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Nimble Approach,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
AK718 LTD,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
This is Milk,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes
Pixelbite Design Limited,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
your mum,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Marvell Consulting Limited,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
ByBritton Ltd,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no
Brightman Business Solutions,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,yes,no,yes,no
Computer Assistance,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
EdgeThreeSixty Ltd,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Northrop Grumman UK Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
INKSPILLER,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
Egress Group Ltd,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Embridge Consulting (UK) Ltd,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Planit Software Testing Limited,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Decrypt-IT Consultants,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Silverthorn Associates Limited,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,no
Buffalo,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
NNTG Ltd,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Plan b Professional Services,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Hippo Digital Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
YLD,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Cedar Recruitment Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Custodian Solutions,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no
Engage,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
UK Allied Associates,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Secret Attic Software Ltd,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no
Contino,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
3rd Eye Vision Ltd.,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,no
TORTEK CONSULTING LTD,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no
Navigation Partners,no,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Stream Recruitment Limited,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Red Eye International Ltd,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
Promatix Ltd,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no
Wider Plan Ltd,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
Turnkey Consulting (UK) Limited,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Bluespot,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Ranger4 Ltd,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
KnowNow Information,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no
Snap Out,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no
Spike95 Limited,no,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Diginoid Limited,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Magic Hat Solutions Ltd,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no
Nyna Consulting,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,no,no
Projecting People,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
ECD Associates LTD,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
SoftProm Limited,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
VIX,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no
Piccadilly Group Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Polymorphism Ltd,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no
Infostretch UK Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Digital3rd Ltd.,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no
Strawberry Head Limited,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no
Whitespider,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
Anders+Kern UK Ltd,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
M-HANCE GROUP LIMITED,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
PYRcorp Limited,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no
The Other Media Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Cloud Technology 4 Business (CT4),yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Cadmidium Services Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Ciptex,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Avion,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
PUREPOINT,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Borough IT,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no
MSB Networks Ltd,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no
COMCENTRIS LTD,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes
Ardent,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Salt,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Lucid Support Services Ltd,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Futura Defence Ltd,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Missing the Linq,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,yes,yes,yes,no
CCube Solutions,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
NTT Security (UK) Limited,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Edifit Limited,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Onload Ltd.,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,yes,no,no
MindPoint Limited,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no
Futurice Ltd,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Flick Learning Limited,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
iKnowHow SA,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Level 5,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Local Measure,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
riskHive Technical Services Ltd,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,no
Buzz and Beyond Limited,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
Axelisys,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Yo! Digital Ltd,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no
Frank Design Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
SQA Consulting Limited,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
cr3studio ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Common Good,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Rocktime Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Intelligent Decisioning Ltd,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
The Team,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no
Int3grate Technology,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
WandelBox Limited,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Gate One,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
BladeSec IA,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
C3 Systems Consulting Limited,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no
Velocit Limited,no,no,yes,yes,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,no
LAN 2 LAN LIMITED,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Accordio Ltd,no,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no
Amyan,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Open Inclusion Ltd.,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
LoGov: Local Digital Service Platform,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Fluent (Cambridge) Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no
HMA,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Musala Soft JSC,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Altacom Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Monitise Create,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
Yaddle Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Camart,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no
ASI Data Science,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Equdos Services Ltd,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Technology-Trend Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no
White October,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Hack Partners,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no
DCGTransform Ltd,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no
Optimus IT Infra Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
AGILE SOLUTIONS (GB) LTD,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Leadin UK Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
INOAPPS LIMITED,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
We Are Snook Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Access Computer Consulting Plc,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
the ID Crowd,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
S-EA-T Consulting,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no
